S,Cbar,B,CP_1,CP_2,CP_3,Ixx,Iyy,Izz,Ixz,Iyz,Ixy,mass,CG_1,CG_2,CG_3,DamageCase,RtEng_1,RtEng_2,RtEng_3,LfEng_1,LfEng_2,LfEng_3
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
5.9018,0.9153,6.8488,-4.775025,0,-0.9401,1.22207693800873,4.65710217323673,5.58830153198917,0.274,0,0.006,1.7949247918742,-4.74747447,-0.0118,-0.9761,0,-4.32525,1.18333333333333,-0.6425,-4.32525,-1.18333333333333,-0.6425
